Date,BAJAJ-AUTO.NS,BAJAJFINSV.NS,INFRATEL.NS,HEROMOTOCO.NS,HINDUNILVR.NS,ITC.NS,IOC.NS,INFY.NS,MARUTI.NS,Portfolio Value
2017-06-14,28251.50,41284.00,3861.00,37890.50,11137.00,2998.50,2103.50,9586.00,73510.50,210622.5
2017-06-15,28144.00,40984.00,3748.00,37777.00,11040.00,3019.00,2035.20,9521.00,73123.00,209391.2
2017-06-16,28098.00,41997.00,3751.00,37835.50,10918.00,3068.00,2023.00,9402.50,72639.00,209732.0
2017-06-19,28277.50,42424.50,3765.50,38254.50,10956.50,3109.00,2036.00,9298.50,72492.50,210614.5
2017-06-20,28153.00,42644.00,3771.00,37970.00,10930.50,3087.00,2058.50,9435.50,72072.50,210122.0
2017-06-21,28175.00,42684.00,3717.00,37692.50,11234.50,3089.50,2041.30,9433.50,72682.00,210749.3
2017-06-22,28457.00,42200.00,3750.00,37307.00,10940.50,3113.00,1967.50,9401.50,73161.00,210297.5
2017-06-23,28243.00,41013.00,3721.50,36601.00,10979.00,3110.00,1917.00,9432.50,72191.50,207208.5
2017-06-27,27793.00,40360.50,3733.00,36952.00,10921.00,3123.50,1952.00,9270.50,71833.50,205939.0
2017-06-28,27770.50,41081.50,3764.50,36884.50,10900.00,3083.50,1935.70,9247.00,72250.50,206917.7
2017-06-29,28013.00,40987.50,3782.00,37163.50,10881.00,3116.00,1934.30,9302.00,72243.50,207422.8
2017-06-30,27912.00,41187.00,3745.50,37013.50,10796.00,3236.50,1926.00,9355.50,72176.00,207348.0
2017-07-03,27893.50,41307.00,3977.50,37761.00,10977.50,3425.00,1934.50,9519.00,73540.00,210335.0
2017-07-04,27696.50,41327.00,4015.50,37033.50,10881.00,3372.50,1909.30,9621.50,73761.50,209618.3
2017-07-05,27712.50,41492.50,4030.50,37097.50,10967.00,3310.50,1928.50,9509.00,73776.50,209824.5
2017-07-06,27286.00,41515.00,4147.00,37253.50,10925.00,3371.00,1908.00,9470.00,74740.50,210616.0
2017-07-07,27082.50,41159.00,4043.50,36816.50,10977.00,3343.00,1911.30,9354.00,74328.00,209014.8
2017-07-10,27306.50,41030.00,4103.00,37310.00,10962.50,3333.00,1917.30,9570.50,74304.50,209837.3
2017-07-11,27927.50,41232.00,4098.50,37483.00,11064.50,3304.00,1937.50,9753.50,74570.00,211370.5
2017-07-12,27858.50,42293.00,4203.00,37187.50,11316.50,3288.50,1963.00,9723.50,74766.50,212600.0
2017-07-13,27897.50,43645.50,4106.00,37509.50,11347.00,3387.50,1904.80,9770.50,75675.50,215243.8
2017-07-14,28098.00,43999.00,4178.00,37580.50,11393.00,3371.50,1865.50,9720.50,75572.50,215778.5
2017-07-17,28212.50,44463.00,4186.50,37643.50,11529.50,3251.50,1867.70,9840.50,75223.00,216217.7
2017-07-18,28317.50,44195.50,4182.00,37839.50,11578.50,2845.50,1860.70,9856.00,75493.50,216168.7
2017-07-19,28237.00,45645.00,4151.50,37706.50,11543.50,2914.50,1875.70,9798.50,75615.00,217487.2
2017-07-20,28186.00,46793.00,4061.00,37299.00,11529.00,2895.00,1872.70,9694.50,74909.50,217239.7
2017-07-21,28158.00,49104.00,4103.00,36820.00,11586.50,2889.00,1904.50,9801.00,75430.00,219796.0
2017-07-24,28267.50,49499.50,4089.00,36923.00,11593.50,2932.50,1890.70,9905.50,75545.50,220646.7
2017-07-25,28477.00,49585.00,4156.50,37090.50,11496.00,2914.00,1874.00,9938.50,75048.50,220580.0
2017-07-26,28413.50,49554.50,4135.00,37174.50,11645.50,2936.50,1868.20,9940.50,75652.50,221320.7
2017-07-27,28403.00,49344.50,4110.50,37035.50,11719.00,2885.50,1844.50,9710.50,75996.00,221049.0
2017-07-28,28281.50,49263.00,4039.00,36303.00,11538.50,2915.50,1839.00,9973.50,76304.50,220457.5
2017-07-31,28085.50,49918.50,4014.00,36557.50,11557.50,2852.50,1838.20,10112.00,77500.50,222436.2
2017-08-01,28234.00,50672.50,4037.00,37278.50,11739.50,2878.50,1851.80,10055.50,78561.00,225308.3
