Date,ADANIPORTS.NS,AXISBANK.NS,ASIANPAINT.NS,Portfolio Value
2018-01-23,4384.00,6201.00,11699.00,22284.0
2018-01-24,4487.50,6079.50,11510.50,22077.5
2018-01-25,4365.00,6161.00,11504.50,22030.5
2018-01-29,4366.50,6055.50,11520.50,21942.5
2018-01-30,4282.50,5937.50,11267.00,21487.0
2018-01-31,4288.50,5936.00,11283.00,21507.5
2018-02-01,4287.50,5928.00,11530.00,21745.5
2018-02-02,4179.50,5649.00,11379.00,21207.5
2018-02-05,4082.00,5662.50,11341.00,21085.5
2018-02-06,4048.00,5637.00,11102.50,20787.5
2018-02-07,4070.00,5593.50,11211.00,20874.5
2018-02-08,4051.00,5684.50,11240.50,20976.0
2018-02-09,3990.00,5575.50,11307.50,20873.0
2018-02-12,4033.50,5642.00,11444.00,21119.5
2018-02-14,4130.00,5439.00,11391.50,20960.5
2018-02-15,4117.00,5437.00,11354.50,20908.5
2018-02-16,4054.50,5378.50,11438.50,20871.5
2018-02-19,3938.50,5405.50,11203.50,20547.5
2018-02-20,3949.00,5317.00,11264.00,20530.0
2018-02-21,3956.00,5358.00,11272.00,20586.0
2018-02-22,4040.00,5302.50,11181.00,20523.5
2018-02-23,4065.00,5366.50,11018.00,20449.5
2018-02-26,4150.50,5523.00,11048.00,20721.5
2018-02-27,4104.50,5384.00,11103.50,20592.0
2018-02-28,4083.50,5287.50,11177.50,20548.5
2018-03-01,4061.00,5257.50,11189.00,20507.5
2018-03-05,4039.50,5245.50,11059.50,20344.5
2018-03-06,4052.50,5173.50,11016.00,20242.0
2018-03-07,3769.50,5126.50,11072.50,19968.5
2018-03-08,3879.50,5205.50,11276.00,20361.0
2018-03-09,3779.00,5053.50,11291.00,20123.5
2018-03-12,3866.00,5192.00,11315.00,20373.0
2018-03-13,3852.00,5315.00,11403.00,20570.0
2018-03-14,3821.00,5361.50,11370.00,20552.5
2018-03-15,3821.50,5296.50,11608.00,20726.0
2018-03-16,3705.00,5226.00,11227.50,20158.5
