Date,BPCL.NS,IBULHSGFIN.NS,IOC.NS,M&M.NS,NTPC.NS,ONGC.NS,POWERGRID.NS,HINDPETRO.NS,TATASTEEL.NS,Portfolio Value
2017-06-20,4431.70,11294.50,2058.50,6947.20,1589.50,1691.00,2083.00,3567.30,4976.60,38639.299999999996
2017-06-21,4362.70,11217.50,2041.30,6935.80,1598.00,1648.00,2057.00,3528.70,4931.80,38320.8
2017-06-22,4278.70,11142.50,1967.50,6981.50,1589.50,1604.50,2023.00,3413.70,4906.60,37907.5
2017-06-23,4205.00,11020.00,1917.00,6881.00,1578.50,1581.00,2060.00,3389.70,4832.80,37465.0
2017-06-27,4080.30,10800.00,1952.00,6851.50,1579.00,1599.50,2057.50,3349.00,4867.50,37136.3
2017-06-28,4111.30,10751.50,1935.70,6780.30,1596.50,1581.00,2076.00,3418.30,4959.90,37210.5
2017-06-29,4173.70,10956.00,1934.30,6778.30,1586.50,1578.50,2080.00,3388.00,5097.60,37572.9
2017-06-30,4262.70,10761.50,1926.00,6743.00,1589.50,1573.00,2105.50,3402.30,5199.60,37563.1
2017-07-03,4329.00,10753.00,1934.50,6832.20,1567.50,1591.00,2114.50,3446.30,5245.80,37813.8
2017-07-04,4381.30,10511.50,1909.30,6775.80,1580.50,1599.00,2107.00,3412.70,5216.70,37493.8
2017-07-05,4414.00,10609.00,1928.50,6925.00,1590.00,1628.00,2100.50,3443.30,5239.60,37877.9
2017-07-06,4400.30,10832.00,1908.00,6880.30,1580.50,1617.00,2098.50,3394.00,5284.30,37994.9
2017-07-07,4426.30,10654.50,1911.30,6880.00,1590.50,1596.00,2094.50,3343.00,5272.00,37768.1
2017-07-10,4431.00,10694.50,1917.30,6837.00,1600.50,1624.00,2113.50,3417.30,5329.10,37964.2
2017-07-11,4522.00,10851.00,1937.50,6950.80,1633.00,1602.50,2119.50,3404.00,5305.30,38325.600000000006
2017-07-12,4558.00,11076.50,1963.00,6883.50,1640.50,1628.50,2140.00,3592.50,5326.70,38809.2
2017-07-13,4585.50,11291.50,1904.80,6852.00,1639.00,1589.00,2151.00,3751.00,5373.00,39136.8
2017-07-14,4608.00,11229.00,1865.50,6877.80,1673.00,1583.50,2152.00,3874.00,5320.10,39182.9
2017-07-17,4674.50,11424.50,1867.70,6923.00,1685.50,1600.50,2167.00,3778.50,5333.40,39454.6
2017-07-18,4686.00,11420.00,1860.70,6900.80,1675.50,1617.00,2154.00,3682.00,5366.80,39362.8
2017-07-19,4698.50,11496.00,1875.70,6912.00,1678.00,1630.00,2186.50,3837.00,5442.00,39755.7
2017-07-20,4672.00,11587.50,1872.70,6967.20,1654.50,1658.50,2187.00,3678.50,5308.60,39586.5
2017-07-21,4671.50,11374.50,1904.50,6930.30,1648.00,1643.50,2153.00,3680.00,5271.00,39276.3
2017-07-24,4662.00,11572.50,1890.70,6944.70,1640.50,1632.50,2167.50,3693.00,5225.80,39429.200000000004
2017-07-25,4669.00,11978.50,1874.00,6949.00,1639.00,1633.00,2170.00,3740.00,5268.20,39920.7
2017-07-26,4714.00,11892.50,1868.20,7067.50,1663.50,1640.00,2173.00,3705.50,5390.10,40114.299999999996
2017-07-27,4772.00,11588.50,1844.50,6991.00,1654.00,1629.00,2166.50,3672.00,5347.20,39664.7
2017-07-28,4756.00,11755.00,1839.00,6961.00,1639.00,1647.50,2146.50,3744.50,5258.20,39746.7
2017-07-31,4711.50,11752.50,1838.20,7016.50,1642.00,1694.00,2233.00,3832.00,5403.00,40122.7
2017-08-01,4856.00,12252.00,1851.80,7146.30,1652.00,1674.00,2244.00,3867.50,5453.50,40997.1
2017-08-02,4863.00,11957.50,1850.50,7073.00,1718.50,1654.00,2218.00,3850.00,5423.40,40607.9
2017-08-03,4900.00,11997.50,1935.20,7082.50,1725.50,1657.00,2229.50,3968.00,5328.70,40823.899999999994
2017-08-04,5179.00,12132.00,2094.80,7090.30,1773.50,1664.00,2246.00,4326.00,5486.30,41991.9
2017-08-07,5277.00,11995.00,2156.00,7003.80,1744.50,1659.00,2259.50,4581.00,5716.90,42392.700000000004
2017-08-08,5050.50,11958.00,2066.30,7000.00,1711.50,1640.00,2229.00,4361.50,5873.20,41890.0
2017-08-09,4959.50,11590.00,2070.20,6961.50,1736.50,1657.00,2219.00,4296.50,5764.50,41254.7
2017-08-10,4815.00,11565.00,2051.50,6935.30,1726.50,1637.00,2174.00,4124.50,5757.90,40786.700000000004
2017-08-11,4843.00,11499.00,2059.00,6740.30,1688.50,1596.50,2189.00,4290.50,5685.50,40591.3
2017-08-14,4783.50,11757.50,2097.30,6778.80,1717.50,1617.00,2227.50,4386.00,5942.70,41307.799999999996
2017-08-16,4839.50,12091.00,2111.50,6856.00,1701.00,1609.50,2207.00,4364.00,6013.70,41793.2
2017-08-17,4937.00,12004.50,2131.50,6835.00,1768.00,1606.00,2194.50,4339.50,5958.40,41774.4
2017-08-18,5033.00,12024.00,2136.80,6850.00,1734.00,1609.00,2229.50,4424.00,5960.80,42001.100000000006
2017-08-21,4977.50,11987.00,2066.00,6893.30,1720.00,1571.50,2203.00,4338.00,5921.70,41678.0
2017-08-22,5103.50,11763.50,2116.00,6873.30,1677.00,1594.50,2195.00,4497.00,5903.20,41723.0
2017-08-23,5097.00,12217.50,2134.30,6871.00,1702.50,1597.00,2197.50,4579.00,6046.10,42441.9
2017-08-24,5082.00,12103.50,2141.00,6875.80,1690.00,1594.50,2209.50,4662.00,6088.00,42446.3
2017-08-28,5080.00,12232.50,2203.50,6865.30,1733.00,1606.00,2171.00,4633.00,6058.00,42582.3
2017-08-29,5041.00,12023.00,2172.50,6884.70,1684.00,1572.50,2153.00,4669.50,6004.10,42204.299999999996
2017-08-30,5209.50,12080.00,2264.30,6790.80,1679.50,1584.00,2156.00,4859.50,6084.70,42708.299999999996
2017-08-31,5290.00,12155.00,2273.50,6724.00,1687.50,1569.50,2192.50,4883.50,6078.90,42854.4
2017-09-01,5374.00,12224.50,2241.50,6738.00,1682.50,1599.50,2165.00,4824.00,6204.20,43053.2
2017-09-04,5311.50,12353.50,2145.20,6641.50,1682.50,1618.00,2176.00,4765.00,6159.90,42853.1
2017-09-05,5392.50,12408.50,2159.30,6623.30,1695.00,1628.00,2162.00,4819.00,6212.80,43100.4
2017-09-06,5349.00,12643.00,2141.30,6582.80,1699.50,1623.00,2143.00,4765.00,6221.40,43168.0
2017-09-07,5241.00,13163.50,2161.00,6699.70,1701.00,1623.00,2159.00,4694.00,6219.50,43661.7
2017-09-08,5133.50,13112.00,2145.70,6477.00,1677.50,1618.50,2131.00,4619.50,6244.20,43158.899999999994
2017-09-11,5122.50,12979.00,2145.20,6401.00,1705.50,1630.50,2156.00,4650.00,6312.80,43102.5
2017-09-12,5338.50,12913.50,2174.50,6503.80,1703.50,1623.00,2153.00,4822.00,6506.20,43738.0
2017-09-13,5002.00,12688.50,2079.80,6536.70,1689.50,1610.50,2137.50,4575.00,6475.30,42794.8
2017-09-14,5005.00,12648.00,2098.50,6453.80,1686.50,1593.50,2139.50,4590.00,6456.70,42671.5
2017-09-15,4972.50,12659.50,2078.20,6471.30,1673.50,1667.50,2125.00,4530.00,6468.60,42646.1
2017-09-18,4979.50,13011.00,2078.20,6475.00,1680.00,1652.00,2153.50,4490.00,6411.00,42930.2
2017-09-19,5069.00,13079.50,2091.50,6473.80,1690.00,1659.00,2158.50,4613.00,6444.30,43278.600000000006
2017-09-20,4943.00,13107.50,2069.80,6462.20,1678.00,1677.00,2129.00,4520.00,6551.50,43138.0
2017-09-21,4961.50,12818.50,2066.30,6457.20,1682.00,1659.00,2115.50,4523.00,6546.30,42829.3
2017-09-22,4920.00,12423.50,2042.00,6435.80,1660.00,1644.50,2095.50,4386.00,6230.90,41838.200000000004
2017-09-25,4871.50,12039.50,1995.00,6300.00,1662.50,1648.00,2101.50,4252.50,6095.10,40965.6
2017-09-26,4692.50,12427.00,1998.20,6235.80,1669.50,1714.00,2107.50,4156.00,6231.80,41232.3
2017-09-27,4656.00,12231.00,1978.20,6160.00,1650.00,1702.00,2081.50,4170.50,6186.60,40815.799999999996
2017-09-28,4628.50,12102.00,1987.00,6152.80,1660.50,1715.50,2090.00,4161.00,6189.90,40687.200000000004
2017-09-29,4713.00,12067.50,2002.50,6271.30,1674.50,1709.50,2110.00,4268.00,6217.10,41033.4
2017-10-03,4788.50,12343.50,2032.70,6321.50,1684.00,1706.50,2061.50,4346.00,6295.70,41579.899999999994
2017-10-04,4861.50,12571.00,2043.80,6443.80,1680.50,1721.00,2090.50,4441.50,6278.50,42132.1
2017-10-05,4801.00,12614.00,2033.80,6503.80,1711.00,1712.00,2049.50,4356.50,6297.60,42079.2
2017-10-06,4896.00,12682.00,2077.30,6515.00,1760.50,1738.50,2047.50,4454.50,6587.70,42759.0
2017-10-09,4812.50,12722.50,2070.70,6524.20,1749.00,1707.00,2009.50,4400.00,6643.00,42638.4
2017-10-10,4823.00,12819.00,2054.30,6525.50,1755.00,1703.50,2047.50,4365.50,6581.50,42674.8
2017-10-11,4893.50,12604.00,2090.50,6597.20,1748.50,1691.50,2028.50,4550.00,6500.50,42704.2
