Date,ADANIPORTS.NS,AXISBANK.NS,ASIANPAINT.NS,BAJAJ-AUTO.NS,BAJFINANCE.NS,Portfolio Value
2017-08-04,4066.50,5081.00,11573.00,28746.50,17234.50,66701.5
2017-08-07,4142.50,5058.00,11496.50,28892.50,17981.50,67571.0
2017-08-08,4148.00,4994.50,11473.50,29116.00,17798.00,67530.0
2017-08-09,3972.50,4869.50,11555.50,28311.50,16977.00,65686.0
2017-08-10,3856.50,4855.00,11511.00,27962.00,16356.00,64540.5
2017-08-11,3827.50,4897.00,11439.00,27882.00,16954.00,64999.5
2017-08-14,3962.00,4917.50,11540.00,28316.00,17109.00,65844.5
2017-08-16,3975.50,4995.00,11413.00,28492.00,17213.50,66089.0
2017-08-17,3893.00,4971.50,11349.50,28258.50,17287.50,65760.0
2017-08-18,3862.00,4904.00,11400.00,28113.50,17049.50,65329.0
2017-08-21,3759.50,4948.00,11344.50,27665.00,16906.00,64623.0
2017-08-22,3756.50,4992.00,11294.50,27405.50,16829.00,64277.5
2017-08-23,3850.00,5026.50,11413.00,27546.50,17793.00,65629.0
2017-08-24,3800.50,5068.50,11356.00,27285.50,17601.00,65111.5
2017-08-28,3875.00,5106.00,11559.00,27420.50,18299.50,66260.0
2017-08-29,3833.00,5036.00,11517.00,27266.00,17734.00,65386.0
2017-08-30,3897.50,5039.00,11533.50,27505.50,17880.50,65856.0
2017-08-31,3929.50,5003.50,11685.50,28145.00,17819.00,66582.5
2017-09-01,3949.00,5075.50,12159.00,29163.50,17999.50,68346.5
2017-09-04,3848.50,5017.50,11970.50,29151.50,18013.50,68001.5
2017-09-05,3903.00,5034.00,12063.50,29507.00,17944.00,68451.5
2017-09-06,3850.50,4928.50,12060.50,29205.50,18589.50,68634.5
2017-09-07,3877.00,4966.00,11986.50,29654.50,19632.00,70116.0
2017-09-08,3859.00,4940.00,12039.50,29154.50,18912.00,68905.0
2017-09-11,3853.50,4939.00,12380.50,29296.00,19204.50,69673.5
2017-09-12,3890.50,4965.00,12563.50,29357.50,18944.00,69720.5
2017-09-13,3900.00,4993.00,12549.50,29349.50,19071.50,69863.5
2017-09-14,4031.00,5197.50,12460.50,29283.50,19099.00,70071.5
2017-09-15,4051.50,5161.50,12455.00,30256.00,19027.50,70951.5
2017-09-18,4047.00,5245.50,12559.50,31374.00,19116.50,72342.5
2017-09-19,4069.00,5207.50,12533.00,31154.50,19118.00,72082.0
2017-09-20,4097.00,5194.50,12373.00,30905.50,19049.00,71619.0
2017-09-21,4102.00,5125.50,12291.00,30788.50,19195.00,71502.0
2017-09-22,4012.00,5053.00,12132.50,30424.50,18631.50,70253.5
2017-09-25,3886.50,5017.00,11969.50,30441.00,17960.00,69274.0
2017-09-26,3905.50,5119.50,11740.00,30449.00,18401.00,69615.0
2017-09-27,3725.50,5063.00,11600.00,30312.50,18067.50,68768.5
2017-09-28,3720.50,5118.00,11300.00,30394.50,18428.50,68961.5
2017-09-29,3767.50,5091.50,11317.00,31094.00,18380.50,69650.5
2017-10-03,3837.00,5096.50,11488.00,31622.00,18678.00,70721.5
2017-10-04,3876.50,5059.50,11540.50,31735.00,18626.50,70838.0
2017-10-05,3859.00,5012.00,11532.50,31308.00,18662.00,70373.5
2017-10-06,3892.50,5033.50,11573.00,31415.50,19236.00,71150.5
2017-10-09,3937.00,5059.50,11586.00,31254.50,19413.00,71250.0
2017-10-10,3968.50,5145.50,11630.00,31347.00,19508.00,71599.0
2017-10-11,3969.50,5157.50,11606.00,31439.00,19235.50,71407.5
2017-10-12,4037.00,5251.00,11588.00,31559.00,19531.50,71966.5
2017-10-13,4082.00,5294.50,11742.50,31608.50,19530.50,72258.0
2017-10-16,4068.00,5203.50,11710.50,32248.00,18863.00,72093.0
2017-10-17,4068.50,5131.50,11971.50,32599.50,18671.00,72442.0
2017-10-18,4069.00,4645.00,11796.50,32268.00,18685.00,71463.5
