Date,HINDUNILVR.NS,Portfolio Value
2017-08-10,11707.00,11707.0
2017-08-11,11528.00,11528.0
2017-08-14,11557.00,11557.0
2017-08-16,11863.50,11863.5
2017-08-17,11773.00,11773.0
2017-08-18,12022.00,12022.0
2017-08-21,11914.50,11914.5
2017-08-22,11996.00,11996.0
2017-08-23,11881.50,11881.5
2017-08-24,11797.00,11797.0
2017-08-28,11997.00,11997.0
2017-08-29,11904.50,11904.5
2017-08-30,12043.00,12043.0
2017-08-31,12197.50,12197.5
2017-09-01,12161.50,12161.5
2017-09-04,11971.50,11971.5
2017-09-05,12052.00,12052.0
2017-09-06,12064.00,12064.0
2017-09-07,12087.50,12087.5
2017-09-08,12075.50,12075.5
2017-09-11,12199.00,12199.0
2017-09-12,12498.00,12498.0
2017-09-13,12509.50,12509.5
2017-09-14,12478.50,12478.5
2017-09-15,12460.00,12460.0
2017-09-18,12800.50,12800.5
2017-09-19,12793.00,12793.0
2017-09-20,12593.50,12593.5
2017-09-21,12567.00,12567.0
2017-09-22,12392.00,12392.0
2017-09-25,12471.50,12471.5
2017-09-26,12173.50,12173.5
2017-09-27,12059.00,12059.0
2017-09-28,12028.00,12028.0
2017-09-29,11739.00,11739.0
2017-10-03,11863.50,11863.5
2017-10-04,11975.00,11975.0
2017-10-05,11876.50,11876.5
2017-10-06,12073.00,12073.0
2017-10-09,12202.50,12202.5
2017-10-10,12092.00,12092.0
2017-10-11,12180.50,12180.5
2017-10-12,12410.00,12410.0
2017-10-13,12486.00,12486.0
2017-10-16,12813.00,12813.0
2017-10-17,12821.50,12821.5
2017-10-18,12639.50,12639.5
2017-10-19,12577.00,12577.0
2017-10-23,12499.50,12499.5
2017-10-24,12700.50,12700.5
2017-10-25,12724.50,12724.5
2017-10-26,12737.00,12737.0
2017-10-27,12601.50,12601.5
2017-10-30,12342.00,12342.0
2017-10-31,12374.50,12374.5
2017-11-01,12580.00,12580.0
2017-11-02,12415.00,12415.0
2017-11-03,12395.00,12395.0
2017-11-06,12406.00,12406.0
2017-11-07,12342.00,12342.0
2017-11-08,12353.00,12353.0
2017-11-09,12529.00,12529.0
2017-11-10,12906.50,12906.5
2017-11-13,12795.00,12795.0
2017-11-14,12839.00,12839.0
2017-11-15,12650.00,12650.0
2017-11-16,12765.00,12765.0
2017-11-17,12781.50,12781.5
2017-11-20,12745.00,12745.0
2017-11-21,12773.50,12773.5
2017-11-22,12704.50,12704.5
2017-11-23,12675.00,12675.0
2017-11-24,12659.50,12659.5
2017-11-27,12603.00,12603.0
2017-11-28,12678.50,12678.5
2017-11-29,12761.50,12761.5
2017-11-30,12724.50,12724.5
2017-12-01,12505.00,12505.0
2017-12-04,12686.00,12686.0
2017-12-05,12610.00,12610.0
2017-12-06,12756.00,12756.0
2017-12-07,12919.50,12919.5
2017-12-08,13266.50,13266.5
2017-12-11,13240.50,13240.5
2017-12-12,13146.50,13146.5
2017-12-13,13150.50,13150.5
2017-12-14,13216.00,13216.0
2017-12-15,13245.50,13245.5
2017-12-18,13317.50,13317.5
2017-12-19,13497.00,13497.0
2017-12-20,13626.50,13626.5
2017-12-21,13484.50,13484.5
2017-12-22,13565.00,13565.0
2017-12-26,13481.00,13481.0
2017-12-27,13524.50,13524.5
2017-12-28,13545.00,13545.0
2017-12-29,13678.50,13678.5
2018-01-01,13445.00,13445.0
2018-01-02,13386.00,13386.0
2018-01-03,13503.50,13503.5
2018-01-04,13522.50,13522.5
