Date,TATASTEEL.NS,ZEEL.NS,YESBANK.NS,WIPRO.NS,PNB.NS,ULTRACEMCO.NS,TECHM.NS,TCS.NS,ONGC.NS,SAIL.NS,Portfolio Value
2017-07-17,5333.40,5242.50,3094.90,2668.50,1529.00,43477.50,3918.50,23954.50,1600.50,618.00,91437.3
2017-07-18,5366.80,5305.00,3115.60,2690.00,1548.50,43308.50,3913.00,24083.50,1617.00,627.50,91575.4
2017-07-19,5442.00,5454.00,3140.30,2711.00,1583.00,42058.50,3967.50,24496.00,1630.00,636.50,91118.8
2017-07-20,5308.60,5389.50,3143.20,2691.50,1567.50,41417.00,3915.00,24447.00,1658.50,629.00,90166.8
2017-07-21,5271.00,5560.50,3155.30,2860.50,1582.50,41766.50,3947.00,24912.00,1643.50,624.50,91323.3
2017-07-24,5225.80,5519.00,3186.50,2915.50,1613.00,41975.00,3990.50,25307.00,1632.50,633.00,91997.8
2017-07-25,5268.20,5387.00,3235.70,2895.50,1629.50,41057.00,3911.00,25715.00,1633.00,635.50,91367.4
2017-07-26,5390.10,5306.50,3423.90,2893.50,1589.00,40744.00,3893.50,25560.00,1640.00,639.00,91079.5
2017-07-27,5347.20,5393.00,3571.70,2897.00,1541.50,40429.50,3772.50,24817.00,1629.00,633.00,90031.4
2017-07-28,5258.20,5406.00,3683.70,2890.50,1588.50,40242.00,3813.00,24843.00,1647.50,625.50,89997.9
2017-07-31,5403.00,5417.50,3619.00,2884.50,1623.00,40569.00,3858.50,24918.00,1694.00,632.50,90619.0
2017-08-01,5453.50,5436.00,3654.50,2948.00,1575.00,40678.50,4024.50,25016.50,1674.00,631.00,91091.5
2017-08-02,5423.40,5403.00,3658.00,2938.00,1589.50,40874.50,4020.50,24738.00,1654.00,632.00,90930.9
2017-08-03,5328.70,5399.50,3570.90,2891.00,1493.00,40844.00,4071.50,24894.50,1657.00,607.50,90757.6
2017-08-04,5486.30,5418.50,3615.90,2894.00,1510.50,40813.50,4090.00,25228.00,1664.00,617.00,91337.7
2017-08-07,5716.90,5406.50,3599.70,2877.50,1521.00,40499.50,4063.50,25034.50,1659.00,624.00,91002.1
2017-08-08,5873.20,5399.50,3527.10,2874.00,1488.00,40567.00,3982.50,25030.50,1640.00,629.50,91011.3
2017-08-09,5764.50,5400.00,3483.10,2865.00,1483.00,39978.50,3938.50,25120.00,1657.00,614.50,90304.1
